Title,Body,"Published by","Authored by","Is featured","Calls to action","Featured Image (Url)","Knowledge base download","Knowledge Source",Topics,Commodities,"Evidence types","Geographical area","Innovations categories","SDG Focus",Sectors,"Value chain stages","Resource types",Published,"Authored on","Created By","Publication Date","Domain Access","Promoted to front page","Sticky at top of lists",ID,Link,"Knowledge Source Initiative",ISO3
"How resilience innovations in food supply chains are revolutionizing logistics, wholesale trade, and farm services in developing countries","Developing country food supply chains have been pummeled by a series (and often a confluence) of shocks over the past several decades, including the Russia-Ukraine war, COVID-19, climate shocks from hurricanes to floods to droughts, animal and plant diseases, an intensification of road banditry and local conflicts, and overlaying all these, deep transformation in markets themselves with new requirements for quality and food safety. Yet supply chains have been largely resilient, adapting and bouncing back in surprising ways. We show that this has often involves deep ‘pivoting’ by one segment or one value chain, and ‘co-pivoting’ by another to facilitate the former’s pivot. We present a conceptual framework and then illustrate with a variety of examples from Africa and Asia, such as pivoting toward e-commerce by Asian retailers and co-pivoting by delivery intermediaries; pivoting toward quality horticultural production by African and Asian farmers and co-pivoting by mobile outsource services for farming and marketing; and building of redundant ports to protect rice milling operations from climate shocks in Asia by agribusiness and logistic firms. The paper provides implications for policy to facilitate these adaptions and for resilience strategies of agribusiness firms.","Wageningen Academic Publishers","Reardon T., Vos R.",0,"Explore the full paper-https://www.wageningenacademic.com/doi/ref/10.22434/IFAMR2022.0138?role=tab",,,Other,"Poverty reduction and livelihoods","Grains: rice","Synthesis paper","Thailand|South Africa|China|Brazil","Innovations within the supply chain","SDG 1 - No Poverty",Crops,"Pre-harvest|Post-harvest: logistics|Post-harvest: wholesale trade","Journal article",1,"2023-02-15 16:06:15",theAdmin,2023-02-15T12:00:00+0000,,0,0,2330,https://www.kismfoodmarkets.org/node/2330,no,THA|ZAF|CHN|BRA
"Rural Employment in Africa: Trends and Challenges","Africa's rural population continues to expand rapidly, and labor productivity in agriculture and many rural-off farm activities remains low. This review uses the lens of a dual economy and the associated patterns of agricultural, rural, and structural transformation to review the evolution of Africa's rural employment and its inclusiveness. Many African countries still find themselves in an early stage of the agricultural and rural transformation. Given smaller sectoral productivity gaps than commonly assumed, greater size effects, and larger spillovers, investment in agriculture and the rural off-farm economy remains warranted to broker the transition to more and more productive rural employment. The key policy questions thus become how best to invest in the agri-food system (on and increasingly also off the farm) and how best to generate demand for nonagricultural goods and services that rural households can competitively produce. Informing these choices continues to present a major research agenda, with digital technologies, the imperative of greening, and intra-African liberalization raising many unarticulated and undocumented opportunities and challenges.","World Bank","Christiaensen, L., Maertens, M.",0,"Explore the full paper-https://documents1.worldbank.org/curated/en/423521645602857176/pdf/Rural-Employment-in-Africa-Trends-and-Challenges.pdf",,,Other,"Income and employment opportunities: employment",,"Synthesis paper","Africa: Eastern Africa|Africa: Middle Africa|Africa: Northern Africa|Africa: Southern Africa|Africa: Sub-Saharan Africa|Africa: Western Africa",,"SDG 8 - Decent Work and Economic Growth",,,"Research report",1,"2023-02-13 15:02:43",theAdmin,2022-10-01T12:00:00+0000,,0,0,2191,https://www.kismfoodmarkets.org/node/2191,no,|||||
"Global and country Agri-Food Market and Policy Analysis Models (AMPAM)","To fill the data and policy modeling void, in collaboration with the Foresight and Metrics Initiative, an integrated system of global and country Agri-Food Market and Policy Analysis Models (AMPAM) is developed to assess potential for and trade-offs associated with the scaling of interventions and innovations that create jobs, boost incomes, and reduce environmental footprints along food value chains.
The databases of AMPAM and the scenario analyses conducted with AMPAM will be made accessible through KISM. The database will be compiled based on currently disjointed and fragmented data sources and reconciled using a comprehensive and systematic socio-economic and environmental accounting framework for the agri-food system. Using this methodology, it will be able to measure the economic and social importance of food markets and assess environmental impacts from farm to fork, substantially expanding and integrating existing CGIAR work in this area, including IFPRI’s AGGDP+ and AGEMP+ project and IFPRI’s greenhouse gas emissions database and measures of policy support to agriculture and food sectors by main food commodities of the AgIncentives consortium (FAO-IFPRI-IDB-OECD-World Bank). Detailed by food commodities and value chains and across countries, the AMPAM database will allow researchers to calculate indicators on the shares of different segments of the food system in value added, total food consumption, international trade, employment by types of worker, wage and other factor incomes, GHG emissions, and other environmental footprints. These indicators can help decision-makers identify inequalities, the potential for employment and income generation, and sources of environmental pressures across the food system.
The AMPAM model system will integrate three types of modleing frameworks that can support decision-makers in assessing the full potential, scalability, market opportunities, priorities for and trade-offs associated with incentive schemes, and investments and innovations.
Concretely, this initiative will develop and integrate the following tools: (a) food market potential and demand analysis; (b) value chain and policy and investment needs analysis; and (c) economy-wide and food-systemwide investment priority and impact analysis of interventions for inclusive and sustainable food systems, improving the existing economy-wide modeling frameworks for global and country-level food market and value chain analysis, MIRAGRODEP and RIAPA.
The initiative will also provide scenario analysis at the global and country level of options for repurposing existing agricultural support in ways conducive for scaling food-sytemwide interventions and innovations and optimizing benefits in terms of inclusion and sustainability. This scenario analysis will leverage and enhance analyses undertaken by IFPRI and partners using the MIRAGRODEP global modeling framework.",CGIAR,"Martin, W.",0,,,,"Knowledge tools for policy coherence and market reform",Other,,,Global,,"SDG 1 - No Poverty",,,Database,1,"2023-02-13 14:03:26",theAdmin,2023-02-13T12:00:00+0000,,0,0,2190,https://www.kismfoodmarkets.org/node/2190,yes,
"Value addition and farmers: Evidence from coffee in Ethiopia","Local value-addition in developing countries is often aimed at for upgrading of agricultural
value chains, since it is assumed that doing so will make farmers better off. However, transmission
of the added value through the value chain and constraints to adoption of value-adding
activities by farmers are not well understood. We look at this issue in the case of coffee
in Ethiopia–the country’s most important export product–and value-addition in the coffee
value-chain through ‘washing’ coffee, which is done in wet mills. Washed coffee is sold internationally
with a significant premium compared to ‘natural’ coffee but the share of washed
coffee in Ethiopia’s coffee exports has stagnated. Relying on a unique primary large-scale
dataset and a combination of qualitative and quantitative methods, we examine the reasons
for this puzzle. The reasons seemingly are twofold. First, labor productivity in producing red
cherries, which wet mills require, is lower than for natural coffee, reducing incentives for
adoption, especially for those farmers with higher opportunity costs of labor. Second, only
impatient, often smaller, farmers sell red cherries, as more patient farmers use the storable
dried coffee cherries as a rewarding savings instrument, given the negative real deposit
rates in formal savings institutions.",PLOS,"Tamru, S., Minten, B.",0,"Explore the full paper-https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0273121",,,"Rethinking food markets initiative","Poverty reduction and livelihoods","Industrial crops: coffee","Empirical study",Ethiopia,"Innovations within the supply chain","SDG 10 - Reduce Inequalities",Crops,Post-harvest,"Journal article",1,"2023-02-03 14:16:11",theAdmin,2023-01-30T12:00:00+0000,,0,0,2180,https://www.kismfoodmarkets.org/node/2180,yes,ETH
"Market Links between Actors of the Honduras Coffee Supply Chains","Coffee is one of the major crops produced in Honduras. This country is the world’s sixth largest producer and the largest producer in Central America. Its contribution to the economy cannot be overstated: it accounts for 5% of the national Gross Domestic Product (GDP) and 26% of the agricultural GDP. The Honduran coffee sector has made significant progress towards its modernization and, as a result, has increased both its aggregate production and farm productivity. Yet, these positive metrics contrast with increasing concerns about the environmental and social sustainability of the sector. 
It is in this context that the initiative Rethinking Markets and Value Chains for Inclusion and Sustainability conducts this scoping study. Its goal is to review the agricultural policy context and describe the coffee global value chain (GVC), identifying key constraints to reducing the costs of production and marketing and making the chain more inclusive. The information that feeds this study is the result of a systemic review of the literature and the analysis of secondary data on the coffee supply chain in Honduras.",CGIAR,"Ceballos-Sierra, F.",1,"Explore the full paper-https://cgspace.cgiar.org/bitstream/handle/10568/128619/%236%20Initiative%20Note_Coffee_Final%20v.2.pdf?sequence=1&amp;isAllowed=y",,,"Making globally integrated value chains inclusive, efficient, and environmentally sustainable","Poverty reduction and livelihoods|Nutrition, health and food security: Food security/insecurity|Agribusiness profitability: output prices|Gender equality, youth and social inclusion|Agribusiness profitability: raw product quality","Industrial crops: coffee","Synthesis paper",Honduras,"Innovations within the supply chain","SDG 1 - No Poverty",Crops,"Primary production: crops","Research report",1,"2023-02-02 08:52:48",theAdmin,2022-12-30T12:00:00+0000,,0,0,2177,https://www.kismfoodmarkets.org/node/2177,yes,HND
"Digital Agriculture Platforms: Understanding Innovations in Rural Finance and Logistics in Uganda’s Agri-food Sector","Agriculture is the mainstay of Uganda’s economy, contributing about 25% of the GDP, a third of the ex- port earnings and almost all the country’s food requirements. Yet, the sector still faces various chal- lenges that affect production and the income derived from it. Systemic issues impact smallholder farmers' livelihoods across markets, land, skills, and capital, with cross-cutting social exclusion issues. Effective application of digital agricultural technologies has emerged as a catalyst in addressing productivity and efficiency challenges and enhancing inclusiveness in agri-food systems. Digital technologies have shown potential to address bottlenecks in access to extension services, marketing systems, suitable financial products, reliable weather information, transport services and logistics as well as supply chain management. Scaling of digital agricultural technologies in Uganda is critical for improving productivity and addressing challenges in the agricultural sector. However, for scaling to be undertaken effectively and inclusively, there is need to address the barriers that limit the use of digital innovations for some populations. However, the issues surrounding scaling and inclusivity of digital services are not well understood. This study therefore sought to contribute to bridging this knowledge gap through an assessment of the existing digitally enabled innovative cross-value chain services to gain insights into how the services are addressing inefficiencies, creating opportunities for improving efficiency and inclusiveness as well as identifying promising innovations for scaling. Specifically, the study focused on in- novations in finance and logistics for value chains. For finance, the study specifically looked at digital payments, credit, and insurance, while for logistics, the focus was on supply chain management, transportation, traceability, digital platforms for e-commerce, and (cold) storage across value chains.
The study used a qualitative approach to collect data in two phases: the first phase involved conducting an inception workshop followed with key informant interviews with 39 service providers and enablers. The second phase involved case studies using 12 Focus Group Discussions (FGDs), 12 individual interviews and a validation workshop. The findings show potential for digital agricultural innovations to address some of the challenges. Several benefits are associated with the current use of digital innovations including linking value chain actors with the enabling services (e.g., insurance companies, banks, government), increased access to markets, access to extension and advisory services including market and weather information and quality agri-inputs and tractor services, services such as credit and savings, agri-insurance, agri-trucking, Heating Ventilation and Conditioning (HVAC) and warehousing. The use of digital innovations has for instance enabled access to agri-insurance and digital loans or credit which was not possible before. However, there are some challenges with the use of digital finance and logistic services. For instance, the study identified challenges of access due low awareness and information due to limited digital literacy, social norms and power relations that disadvantage some sections of the population such as the women and youth from access and some technology design issues that need to be addressed for effective and inclusive uptake and scaling. Additionally, the ICT infrastructure in Uganda is unevenly distributed with significant gaps between rural and urban connectivity. Communication infrastructure (e.g., network coverage and broadband services) is established in urban centers, but rural areas have poor or no connectivity. Limited access to electricity is a major cause of the discrepancies in urban–rural Internet use and mobile phone penetration rates in Uganda. Yet mobile technology is at the heart of the digital transformation in Uganda as in most parts of sub-Saharan Africa.
The study also identified some promising innovations that offer opportunities for scaling, following prioritization by stakeholders of the most significant challenges to scaling (low awareness of services and lack of information to support farmers to make a case for investing in digital services). These innovations have active SMEs and start-ups engaged in them and include digital input supplies and payments bundled with agronomic advisories, e-market places for outputs bundled with digital payments services and logistics, and agricultural logistics services involving transport and warehousing services.",CGIAR,"Ajambo, S., Ogutu, S., Birachi, E., Kikulwe, E",0,,,https://www.kismfoodmarkets.org/sites/default/files/2023-02/Initiative%20Note_WP3_Uganda_final.pdf,"Rethinking food markets initiative","Gender equality, youth and social inclusion",,"Empirical study",Uganda,"Innovations within the supply chain: Vertical integration|Innovations within the supply chain: Financial services|Innovations within the supply chain: Logistics services","SDG 10 - Reduce Inequalities",,,"Research report",1,"2023-02-02 08:32:00",theAdmin,2022-12-26T12:00:00+0000,,0,0,2176,https://www.kismfoodmarkets.org/node/2176,yes,UGA
"The political economy of reforming agricultural support policies","Agricultural support policies cost more than US$800 billion per year in transfers to the farm sector worldwide. Support policies based on subsidies and trade barriers are highly distortive to markets and are also regressive as most support is provided to larger farmers. On balance, the incentives this support creates appear to increase greenhouse gas emissions that contribute to climate change. In addition, some subsidies undermine the production of more nutrient-dense commodities that are otherwise critical for the improvement of dietary outcomes. This paper first highlights that better outcomes could be achieved if even a small portion of agricultural subsidies were repurposed into investments in research and development (R&D) dedicated to productivity-enhancing and emission-reducing technologies. This would create multiple wins — mitigating global climate change, reducing poverty, increasing food security, and improving nutrition. Nonetheless, the political economy challenges to doing so are sizeable. Because current support policies are often politically popular and serve well-organized interests, reform is difficult without committed political leadership and multilateral collaboration. Using several case studies of both successful and failed changes of agricultural support policies in China, India, and the EU and the United States, we highlight lessons learned about the political economy constraints on and possibilities for reform.",CGIAR,"Vos, Rob, Martin, Will, Resnick, Danielle",0,"Explore the full paper-https://cgspace.cgiar.org/bitstream/handle/10568/127455/ifpridp02163.pdf?sequence=1&amp;isAllowed=y",,,Other,"Poverty reduction and livelihoods",,"Synthesis paper","China|India|United States of America","Innovations in the enabling environment: Support and trade policies|Innovations in the enabling environment: Sustainable development policies","SDG 1 - No Poverty",Services,"Primary production","Research report",1,"2023-01-31 16:05:40",theAdmin,2022-12-26T12:00:00+0000,,0,0,2175,https://www.kismfoodmarkets.org/node/2175,no,CHN|IND|USA
"Digital Innovations for the Coffee Value Chain in Honduras and Guatemala: A scoping study","This work offers a synthesis of the current digital technologies available for coffee that are relevant to the context of Honduras and Guatemala. It results from desk research considering current literature (grey and academic) and interviews with actors selling digital technologies to the Centro-American coffee sector. This summary is organized into four parts. First, there are introductory concepts on digital technologies applied in agriculture, useful to have a common ground; Three aspects are covered here: what are digital technologies, their potential, and what socio-ethical aspects should be considered when promoting these technologies. Second, there is an overview of digital technologies in Honduras and Guatemala. Introduction Third, there is an overview of the digital technologies currently available in the coffee sector. In this section, twenty-three technologies are presented and organized by service types, level of development, and seller information. Four, there are comments on the potential impactful technologies, a review of aspects to consider when supporting these technologies, and conceptual and methodological recommendations useful for the future work of the team testing digital technologies in the field. This work was developed in the context of the Initiative Rethinking Food Markets and Value Chains for Inclusion and Sustainability, developed by the Bioversity-CIAT Alliance and the CGIAR support.",CGIAR,"Melo, Jenny, Wiegel, Jennifer",0,"Explore the full paper-https://cgspace.cgiar.org/bitstream/handle/10568/127734/Digital%20Innovations%20Coffee%20FINAL_Branded_anonymous.pdf?sequence=1&amp;isAllowed=y",,,"Making globally integrated value chains inclusive, efficient, and environmentally sustainable","Poverty reduction and livelihoods","Industrial crops: coffee","Synthesis paper",Guatemala|Honduras,"Innovations within the supply chain: Contracting","SDG 1 - No Poverty",Crops,Pre-harvest|Post-harvest,"Research report",1,"2023-01-31 15:57:11",theAdmin,2023-01-03T12:00:00+0000,,0,0,2174,https://www.kismfoodmarkets.org/node/2174,yes,GTM|HND
"Policy framework for contract farming: An alternate to Aarthi system in Pakistan","Global agricultural production is undergoing a remarkable shift due to globalization and market liberalization (Setboonsarng et al., 2008). Food markets are transforming from a ‘non-programmed to programmed’ regime stemming from overwhelming changes in demand patterns happening concurrently with variations in production dynamics internationally (Oostendorp, 2018). This presents both the challenge and opportunity to change and adapt to this more structured world to reap benefits for both smallholder farmers and exporters (Setboonsarng et al., 2008).",CGIAR,"Rana, Abdul Wajid, Gill, Sitara, Akram, Iqra",0,"Explore the full paper-https://doi.org/10.2499/p15738coll2.136547",,,"Rethinking food markets initiative","Poverty reduction and livelihoods",,"Empirical study","Pakistan|Argentina|Brazil|China|India|Kenya|Malaysia|South Africa|Thailand|United Republic of Tanzania|Viet Nam","Innovations within the supply chain: Contracting","SDG 1 - No Poverty",Crops,Pre-harvest,"Research report",1,"2023-01-31 15:35:51",theAdmin,2022-12-27T12:00:00+0000,,0,0,2173,https://www.kismfoodmarkets.org/node/2173,yes,PAK|ARG|BRA|CHN|IND|KEN|MYS|ZAF|THA|TZA|VNM
"Landscape report on existing financial and logistic services in the agricultural sector in Bangladesh","The economy of Bangladesh is largely defined by the agricultural sector, which is reflected in its yearly GDP contribution of approximately 11% in the past few years (World Bank, 2022). The sector holds the potential for even higher contributions to the economy, provided effective initiatives related to financial inclusion, and logistical innovations are implemented. Even during the immense global challenges during to the Covid-19 pandemic, the country’s agricultural sector persisted. Improving traditional initiatives and practices to address constraints faced by farmers and other agricultural value chain actors will enable the sector to expand and benefit new sections of the population, including those most vulnerable such as the poor, women, and youth. Many of the recent innovations in the agricultural sector in Bangladesh have been initiated by ‘AgriTech’ companies/start-ups in the space of financial and logistical services. Financial services are available for both small and large-scale agriculture operations in the country. Besides innovations in financial services, there has been a burgeoning list of logistical services as well. Utilizing this wave of innovations appropriately can help the agricultural sector reach its full potential for success. This report is arranged in the following manner. First, section 1 discusses the traditional services in the financial and logistic sectors, and then section 2 discusses the existing constraints in both sectors. Sections 3 and 4 go into detail on financial and logistical innovations respectively that aim at addressing the discussed constraints. Both sections 3 and 4 have subsections giving a brief description of organizations that are behind these innovations.",CGIAR,"Bakhtiar, M. Mehrab, Uddin, Riad, Shamma, Raisa",0,,,https://www.kismfoodmarkets.org/sites/default/files/2023-02/Initiative%20Note_WP3_Bangladesh_final.pdf,"Rethinking food markets initiative","Poverty reduction and livelihoods",,"Empirical study",Bangladesh,"Innovations within the supply chain: Financial services|Innovations within the supply chain: Logistics services","SDG 1 - No Poverty",Crops,Pre-harvest|Post-harvest,"Research report",1,"2023-01-31 14:24:08",theAdmin,2022-12-29T12:00:00+0000,,0,0,2172,https://www.kismfoodmarkets.org/node/2172,yes,BGD
"MIRAGRODEP 2.0: Documentation","MIRAGRODEP is a recursive-dynamic, multi-region, multi-sector computable general equilibrium model, devoted to trade and agricultural policy analysis. It is developed for AGRODEP and draws upon the MIRAGE model built by CEPII. It incorporates specific features such as foreign direct investment and runs with a tariff aggregation module that allows the user to capture the exclusion effects at a detailed level and the variance of tariffs. The model also includes a submodule allowing to test different closures for the public sector as well as the inefficiency of the tax collection system. MIRAGRODEP 2.0 includes an improved demand system. Social Accounting Matrix (SAM) and trade data in MIRAGRODEP are based on the GTAP database. Additional sources such as MacMap are used for protection data. This technical note presents an expanded documentation, with instructions on how to run the model and an illustrative application.","International Food Policy Research Institute (IFPRI)","Bouët, Antoine, Laborde Debucquet, David, Robichaud, Veronique, Traore, Fousseini, Tokgoz, Simla",0,"Explore the full paper-https://cgspace.cgiar.org/bitstream/handle/10568/128033/p15738coll2_136387.pdf?sequence=1&amp;isAllowed=y",,,Other,"Poverty reduction and livelihoods",,"Modeling study",Global,"Innovations in the enabling environment: Support and trade policies","SDG 1 - No Poverty",Services,"Post-harvest: retail trade","Research report",1,"2023-01-31 13:52:37",theAdmin,2022-09-01T12:00:00+0000,,0,0,2171,https://www.kismfoodmarkets.org/node/2171,no,
"Country Scoping Report - Nigeria: Innovations and policy design for development for cross-value chain services (logistics and financial services)","Work Package 3 (Innovations and policy design for development for cross-value chain services to leverage new employment and income opportunities) under the CGIAR initiative on Rethinking Food Markets intends to address the question: How can cross-food value chain and market services function better to increase employment and boost income of smallholders and SMEs? The WP focuses on two types of cross-value chain services, logistics and financial services. (1) logistics services – supply chain management, transportation, traceability, digital platforms for e-com merce, and (cold) storage. (2) value-chain financial services – mainly focusing on digital financial services (DFS) that facilitate trans actions, savings, access to and use of credit, and insurance. The logistics services in agri-food systems in low- and middle-income countries (LMICs) are often targeted at large-scale enterprises with greater market power and less accessible to smallholder farmers and small and micro enterprises (SMEs). WP3 aims to assess the ways in which these emerging logistics services (including digital platforms) can be cost-effectively targeted at smallholder farmers and agri-food SMEs. Regarding DFS, the WP will investigate cost-effective ways of improving access to and adoption of DFS among smallholders and agri-food SMEs, especially among women and youth. Though these emerging DFS appear to have a high potential to benefit smallholders and SMEs across the agri-food value chains in LMICs, they need a reliable internet connection, a suitable mobile phone network, and a broad network of mobile money agents to be effective. WP3 thus aims to identify innovations/emerging logistics and DFS and test their effectiveness to smallholders and SMEs using randomized control trials (RCTs) in pilots, with the goal of country-specific scalable designs.",CGIAR,"Balana, Bedru B., Olanrewaju, Opeyemi S., Ambler, Kate, Brauw, Alan de, Bloem, Jeffrey, Kadjo, Didier, Wossen, Tesfamicheal, Liverpool-Tassie, Saweda Onipede, Abdoulaye, Tahirou",0,,,https://www.kismfoodmarkets.org/sites/default/files/2023-02/Initiative%20Note_WP3_Nigeria_final.pdf,"Innovations and policy design for development for cross value chain services","Household income",,"Empirical study",Nigeria,"Innovations within the supply chain: Financial services|Innovations within the supply chain: Logistics services","SDG 1 - No Poverty",Services,Finance,"Research report",1,"2023-01-31 11:40:36",theAdmin,2022-12-30T12:00:00+0000,,0,0,2169,https://www.kismfoodmarkets.org/node/2169,yes,NGA
"Scoping Study on Ethiopian Sesame Value Chain","The characteristics of global value chains create some important opportunities to improve the livelihoods of producers, processors, and traders. Global value chains often cater to quality-sensitive consumers in other countries, creating an opportunity for farmers and other value-chain participants to benefit from improving quality, being more inclusive, and/or demonstrating sustainable production methods. Because global value chains are long, communication between consumers and producers is difficult. However, information and communication technology can help bridge this gap and facilitate coordination of supply and demand. Innovations that increase the output and quality of export commodities in a given country are unlikely to reduce the global price, so farmers and small enterprises involved in trading and processing are more likely to benefit than if the commodity were only marketed domestically. At the same time, these chains present significant challenges. It is necessary to understand the product characteristics that affect consumer demand in destination countries, including quality, color, size, and even production methods, such as the environmental impact. Information on these requirements need to be communicated to farmers and local processors, along with a system for offering a premium for the higher quality. Coordinating harvest & transport of export agricultural products can be difficult, particularly for perishable commodities that may need to arrive within 24 hours of harvest. A major challenge is minimizing the cost and delays in domestic and international transport, including phyto-sanitary inspection. Another challenge is ensuring the benefits of global value chains are shared among disadvantaged 4 groups, including small farmers and women. Because of quality requirements and the advantages of scale, larger and better-connected producers are often at an advantage in producing export commodities. Global value chains are more affected by trade and exchange rate policies than domestic value chains. For example, export commodities are vulnerable to unexpected changes in export taxes and over-valuation of the exchange rate, which reduce the return on exports. WP1 will study the impact of promising interventions that improve the livelihoods of farmers and other participants in targeted global value chains. This work package is being implemented in Bangladesh, Ethiopia, Guatemala, Honduras, and Uzbekistan. The case study in Ethiopia focuses on oilseeds value chains. Oilseeds play an important role in the Ethiopian economy and empirical evidence have shown that there is so much potential in oilseeds that Ethiopia can exploit. A study that considered all value chains to be equally important for the economy prioritized oilseeds, fruits/tree crops, vegetables, tobacco/cotton/tea and cattle value chains in Ethiopia (Benfica & Thurlow, 2017). The most important oilseeds in Ethiopia are sesame, soybeans, and groundnuts. Sesame is the largest exported oilseed: in 2019, sesame exports from Ethiopia were worth US$ 307 million, making it the second-largest agricultural export after coffee. Sesame is primarily an export crop. In contrast, groundnut and soybean are marketed domestically and internationally, and exports are considerably smaller (US$ 85 million combined). About 75% of Ethiopian sesame production takes place in the regions of Amhara (particularly in Gonder) and western Tigray. Smaller amounts are grown in Oromia, Benshangul-Gumuz, SNNP, and Gambella. A large majority of sesame is grown on small-scale family farms, although larger commercial farms account for about 18% of production. Almost all sesame is exported in the form of raw seed and converted to sesame oil, tahini, and other products in the destination countries. This is presumably because sesame oil is relatively expensive and not widely used in Ethiopian cooking. Most vegetable oil for domestic consumption is imported, and 90% of the imported quantity is palm oil. There are several hundred vegetable oil processing plants in Ethiopia. The most common types of oil produced domestically are niger seed oil (72% of processing plants), linseed oil, and groundnut oil (GAIN, 2018). Although some Ethiopian sesame has a reputation for high quality on international markets, the sesame value chain is characterized by low productivity, fragmentation, high transaction cost, and limited information. The Ethiopian Commodity Exchange (ECX) has a grading system for sesame, but traders often grade sesame only after it has been aggregated from multiple farmers, making it difficult to provide a premium to individual farmers. Farmers complain that the informal grading and price determination is not 5 transparent. In addition, the ECX has established various channels for delivering market information to farmers, but access to the information remains a problem. These constraints are undermining the performance of the value chain across all nodes of production and marketing. Addressing the key researchable constraints through bundles of innovations is what the markets initiative is planning to do in Ethiopia. The Initiative is starting its interventions in Ethiopia with a scoping study of the sesame value chain. This report summarizes the findings of the scoping study on the oilseeds value chain in Ethiopia. The overall objective of the scoping study is to identify a limited number of interventions that will be subsequently tested through some form of impact evaluation. In order to achieve this overall objective, the scoping study has three intermediate goals: i To describe the structure and operation of the supply chain, from input markets to primary production, processing, and export of the commodity. ii To diagnose problems in the supply chain, defined as obstacles or constraints which reduce the earnings of participants, limit participation of women and other disadvantaged groups, and/or exacerbate the environmental impact. iii To explore the merits of alternative solutions that may address one or more of these problems, where the evaluation is based on an analysis of secondary data, the views of stakeholders, pilot projects, and experience in other countries. The data and information for the scoping study were generated from literature, secondary data, and stakeholder workshops.",CGIAR,"Kassie, Girma T., Worku, Yonas, Bachewe, Fantu Nisrane, Asnake, Woinishet, Abate, Gashaw Tadesse",0,,,https://www.kismfoodmarkets.org/sites/default/files/2023-02/Initiative%20Note_Sesame.pdf,"Making globally integrated value chains inclusive, efficient, and environmentally sustainable","Agribusiness profitability: market access|Agribusiness profitability: output prices","Oilseeds & vegetable oils: sesame","Synthesis paper",Ethiopia,"Innovations within the supply chain: Market information accessibility|Innovations within the supply chain: Value chain infrastructure","SDG 1 - No Poverty",Crops,Post-harvest|Pre-harvest,"Research report",1,"2023-01-31 11:22:05",theAdmin,2022-12-01T12:00:00+0000,,0,0,2168,https://www.kismfoodmarkets.org/node/2168,yes,ETH
"Scale and sustainability: The impact of a women’s self-help group program on household economic well-being in India","Microfinance groups are a prominent source of small-scale rural credit in many developing countries. In India, evidence of the impact of the now ubiquitous women-only savings and credit self-help groups (SHGs) on household consumption and asset accumulation is inconclusive and based on small-scale interventions. Further, little is known about the sustainability of impacts at scale. We use panel data on close to 2500 households from five states in India to estimate the impact of SHG membership on household expenditure and asset ownership. Over four years, we find small but significant impacts of SHG membership on household expenditure and livestock ownership. Membership duration has a modest effect, suggesting that initial impacts may taper off as the program scales up, though small sample sizes limit our ability to draw inferences. Accompanying evidence on pathways is compelling; related work shows that SHG participation improves information, empowerment, and access to entitlements. While the direct impacts of SHG membership may not suffice to fill gaps in access to credit faced by the rural poor, impacts along these additional pathways could intensify the benefits of these groups","Taylor and Francis Online","Raghunathan, Kalyani, Kumar, Neha, Gupta, Shivani, Thai, Giang, Scott, Samuel, Choudhury, Avijit, Khetan, Madhu, Menon, Purnima, Quisumbing, Agnes R.",0,"READ THE FULL PAPER-https://www.tandfonline.com/doi/full/10.1080/00220388.2022.2154151",,,"Rethinking food markets initiative","Gender equality, youth and social inclusion",Grains,"Empirical study",India,"Innovations in the enabling environment","SDG 5 - Gender Equality",Crops,Finance,"Journal article",1,"2023-01-12 10:16:01",soonho.kim,2022-12-14T12:00:00+0000,,0,0,2144,https://www.kismfoodmarkets.org/node/2144,yes,IND
"Financial services and logistics innovation within agri-food value chains: A conceptual framework","Finance and logistics services for agricultural value chains based on technological innovations exist in several LMICs, but they are not often extended to small holders or SMEs working in the agricultural midstream. We consider the constraints to adoption of those services faced by smallholders or SMEs. Finance and logistics improvements hold promise for increased employment, but research is needed to understand where employment gains are most likely. All value chain innovations must carefully consider possible equity-efficiency tradeoffs to ensure change does not negatively affect poor and vulnerable populations.",CGIAR,"Ambler, Kate, Bloem, Jeffrey, de Brauw, Alan",0,,,https://www.kismfoodmarkets.org/sites/default/files/2023-02/Initiative%20Note_Financial%20Services_Kate%20Ambler_final.pdf,"Innovations and policy design for development for cross value chain services","Poverty reduction and livelihoods",Grains,"Synthesis paper",Global,"Innovations within the supply chain: Financial services","SDG 1 - No Poverty",Crops,Finance,"Research report",1,"2023-01-12 10:06:27",soonho.kim,2022-12-01T12:00:00+0000,,0,0,2143,https://www.kismfoodmarkets.org/node/2143,yes,
